date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:25:53	232/232	---M-Z	200	added ('OK')	text/plain	etag:%225c1048-299-5eaae72283500-gzip%22	https://www.jqueryscript.net/robots.txt		(from )
14:25:53	11918/11918	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Jan%202017%2021:04:06%20GMT	https://www.jqueryscript.net/demo/jQuery-Plugin-For-Dynamic-Spreadsheet-like-Data-Grid-jExcel/	C:/My%20Web%20Sites/https___www.jqueryscript.net_demo_jQuery-Plugin-For-Dynamic-Spreadsheet-like-Data-Grid-jExcel_/www.jqueryscript.net/demo/jQuery-Plugin-For-Dynamic-Spreadsheet-like-Data-Grid-jExcel/index.html	(from )
14:25:53	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2012%20Dec%202022%2007:26:28%20GMT	https://www.jqueryscript.net/css/jquerysctipttop.css	C:/My%20Web%20Sites/https___www.jqueryscript.net_demo_jQuery-Plugin-For-Dynamic-Spreadsheet-like-Data-Grid-jExcel_/www.jqueryscript.net/css/jquerysctipttop.css	(from https://www.jqueryscript.net/demo/jQuery-Plugin-For-Dynamic-Spreadsheet-like-Data-Grid-jExcel/)
14:25:54	1511/1511	---M-Z	200	added ('OK')	text/css	etag:W/%226376eddc-5e7%22	https://jquery.app/jqueryscripttop.css	C:/My%20Web%20Sites/https___www.jqueryscript.net_demo_jQuery-Plugin-For-Dynamic-Spreadsheet-like-Data-Grid-jExcel_/jquery.app/jqueryscripttop.css	(from https://www.jqueryscript.net/demo/jQuery-Plugin-For-Dynamic-Spreadsheet-like-Data-Grid-jExcel/)
14:25:54	11595/11595	---M-Z	200	added ('OK')	text/css	etag:%225eb03fd6-2d4b%22	https://cdnjs.cloudflare.com/ajax/libs/spectrum/1.8.0/spectrum.min.css	C:/My%20Web%20Sites/https___www.jqueryscript.net_demo_jQuery-Plugin-For-Dynamic-Spreadsheet-like-Data-Grid-jExcel_/cdnjs.cloudflare.com/ajax/libs/spectrum/1.8.0/spectrum.min.css	(from https://www.jqueryscript.net/demo/jQuery-Plugin-For-Dynamic-Spreadsheet-like-Data-Grid-jExcel/)
14:25:55	4009/4009	---M-Z	200	added ('OK')	text/css	etag:%22ca09f4-fa9-5459722932480-gzip%22	https://www.jqueryscript.net/demo/jQuery-Plugin-For-Dynamic-Spreadsheet-like-Data-Grid-jExcel/dist/css/jquery.jexcel.css	C:/My%20Web%20Sites/https___www.jqueryscript.net_demo_jQuery-Plugin-For-Dynamic-Spreadsheet-like-Data-Grid-jExcel_/www.jqueryscript.net/demo/jQuery-Plugin-For-Dynamic-Spreadsheet-like-Data-Grid-jExcel/dist/css/jquery.jexcel.css	(from https://www.jqueryscript.net/demo/jQuery-Plugin-For-Dynamic-Spreadsheet-like-Data-Grid-jExcel/)
14:25:55	3684/3684	---M-Z	200	added ('OK')	text/css	etag:%22ca09f3-e64-5459722932480-gzip%22	https://www.jqueryscript.net/demo/jQuery-Plugin-For-Dynamic-Spreadsheet-like-Data-Grid-jExcel/dist/css/jquery.jcalendar.css	C:/My%20Web%20Sites/https___www.jqueryscript.net_demo_jQuery-Plugin-For-Dynamic-Spreadsheet-like-Data-Grid-jExcel_/www.jqueryscript.net/demo/jQuery-Plugin-For-Dynamic-Spreadsheet-like-Data-Grid-jExcel/dist/css/jquery.jcalendar.css	(from https://www.jqueryscript.net/demo/jQuery-Plugin-For-Dynamic-Spreadsheet-like-Data-Grid-jExcel/)
14:25:56	122693/122693	---M--	200	added ('OK')	text/javascript	etag:15933928074698513927	https://pagead2.googlesyndication.com/pagead/show_ads.js	C:/My%20Web%20Sites/https___www.jqueryscript.net_demo_jQuery-Plugin-For-Dynamic-Spreadsheet-like-Data-Grid-jExcel_/pagead2.googlesyndication.com/pagead/f.txt	(from https://www.jqueryscript.net/demo/jQuery-Plugin-For-Dynamic-Spreadsheet-like-Data-Grid-jExcel/)
14:25:57	4541/4541	---MCZ	403	error ('Forbidden')	text/html	date:Mon,%2012%20Dec%202022%2007:26:32%20GMT	https://code.highcharts.com/highcharts.js	C:/My%20Web%20Sites/https___www.jqueryscript.net_demo_jQuery-Plugin-For-Dynamic-Spreadsheet-like-Data-Grid-jExcel_/code.highcharts.com/highcharts.7.delayed	(from https://www.jqueryscript.net/demo/jQuery-Plugin-For-Dynamic-Spreadsheet-like-Data-Grid-jExcel/)
14:25:57	97163/97163	---M-Z	200	added ('OK')	application/javascript	etag:W/%2262f659d5-17b8b%22	https://code.jquery.com/jquery-1.12.4.min.js	C:/My%20Web%20Sites/https___www.jqueryscript.net_demo_jQuery-Plugin-For-Dynamic-Spreadsheet-like-Data-Grid-jExcel_/code.jquery.com/jquery-1.12.4.min.js	(from https://www.jqueryscript.net/demo/jQuery-Plugin-For-Dynamic-Spreadsheet-like-Data-Grid-jExcel/)
14:25:58	7480/7480	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec3-1d38%22	https://cdnjs.cloudflare.com/ajax/libs/jquery.mask/1.14.3/jquery.mask.min.js	C:/My%20Web%20Sites/https___www.jqueryscript.net_demo_jQuery-Plugin-For-Dynamic-Spreadsheet-like-Data-Grid-jExcel_/cdnjs.cloudflare.com/ajax/libs/jquery.mask/1.14.3/jquery.mask.min.js	(from https://www.jqueryscript.net/demo/jQuery-Plugin-For-Dynamic-Spreadsheet-like-Data-Grid-jExcel/)
14:25:58	10469/10469	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec1-28e5%22	https://cdnjs.cloudflare.com/ajax/libs/jquery-csv/0.71/jquery.csv-0.71.min.js	C:/My%20Web%20Sites/https___www.jqueryscript.net_demo_jQuery-Plugin-For-Dynamic-Spreadsheet-like-Data-Grid-jExcel_/cdnjs.cloudflare.com/ajax/libs/jquery-csv/0.71/jquery.csv-0.71.min.js	(from https://www.jqueryscript.net/demo/jQuery-Plugin-For-Dynamic-Spreadsheet-like-Data-Grid-jExcel/)
14:25:59	41928/41928	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03fd6-a3c8%22	https://cdnjs.cloudflare.com/ajax/libs/spectrum/1.8.0/spectrum.min.js	C:/My%20Web%20Sites/https___www.jqueryscript.net_demo_jQuery-Plugin-For-Dynamic-Spreadsheet-like-Data-Grid-jExcel_/cdnjs.cloudflare.com/ajax/libs/spectrum/1.8.0/spectrum.min.js	(from https://www.jqueryscript.net/demo/jQuery-Plugin-For-Dynamic-Spreadsheet-like-Data-Grid-jExcel/)
14:25:59	74915/74915	---M-Z	200	added ('OK')	application/javascript	etag:%22ca09f7-124a3-5459722932480-gzip%22	https://www.jqueryscript.net/demo/jQuery-Plugin-For-Dynamic-Spreadsheet-like-Data-Grid-jExcel/dist/js/jquery.jexcel.js	C:/My%20Web%20Sites/https___www.jqueryscript.net_demo_jQuery-Plugin-For-Dynamic-Spreadsheet-like-Data-Grid-jExcel_/www.jqueryscript.net/demo/jQuery-Plugin-For-Dynamic-Spreadsheet-like-Data-Grid-jExcel/dist/js/jquery.jexcel.js	(from https://www.jqueryscript.net/demo/jQuery-Plugin-For-Dynamic-Spreadsheet-like-Data-Grid-jExcel/)
14:25:59	30233/30233	---M-Z	200	added ('OK')	application/javascript	etag:%22ca09f6-7619-5459722932480-gzip%22	https://www.jqueryscript.net/demo/jQuery-Plugin-For-Dynamic-Spreadsheet-like-Data-Grid-jExcel/dist/js/jquery.jcalendar.js	C:/My%20Web%20Sites/https___www.jqueryscript.net_demo_jQuery-Plugin-For-Dynamic-Spreadsheet-like-Data-Grid-jExcel_/www.jqueryscript.net/demo/jQuery-Plugin-For-Dynamic-Spreadsheet-like-Data-Grid-jExcel/dist/js/jquery.jcalendar.js	(from https://www.jqueryscript.net/demo/jQuery-Plugin-For-Dynamic-Spreadsheet-like-Data-Grid-jExcel/)
14:26:00	25407/25407	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2012%20Dec%202022%2002:48:52%20GMT	https://www.jqueryscript.net/demo/jQuery-Plugin-For-Dynamic-Spreadsheet-like-Data-Grid-jExcel/dist/css/img/calendar.png	C:/My%20Web%20Sites/https___www.jqueryscript.net_demo_jQuery-Plugin-For-Dynamic-Spreadsheet-like-Data-Grid-jExcel_/www.jqueryscript.net/demo/jQuery-Plugin-For-Dynamic-Spreadsheet-like-Data-Grid-jExcel/dist/css/img/calendar.d.delayed	(from https://www.jqueryscript.net/demo/jQuery-Plugin-For-Dynamic-Spreadsheet-like-Data-Grid-jExcel/dist/css/jquery.jcalendar.css)
